location,,1990,2000,2005,2010,2011,2012,2013,2014
Congo (Kinshasa),,86,106,132,153,158,146,161,146
Congo (Brazzaville),,0,0,0,0,0,0,0,0
Rwanda,,0,0,0,0,0,0,0,0
Ghana,,0,0,0,0,0,0,0,0
Algeria,,11,0,0,0,0,0,0,0
South Africa,,192684,247138,270053,283521,278616,285031,282812,288142
Libya,,0,0,0,0,0,0,0,0
Egypt,,0,64,28,42,9.9,23,3.3,0
Guinea,,0,0,0,0,0,0,0,0
Lesotho,,0,0,0,0,0,0,0,0
Angola,,0,0,0,0,0,0,0,0
Central African Republic,,0,0,0,0,0,0,0,0
Somalia,,0,0,0,0,0,0,0,0
Burkina Faso,,0,0,0,0,0,0,0,0
Gabon,,0,0,0,0,0,0,0,0
Togo,,0,0,0,0,0,0,0,0
Sierra Leone,,0,0,0,0,0,0,0,0
Liberia,,0,0,0,0,0,0,0,0
Djibouti,,0,0,0,0,0,0,0,0
Eritrea,,0,0,0,0,0,0,0,0
Kenya,,0,0,0,0,0,0,0,0
"Gambia, The",,0,0,0,0,0,0,0,0
Comoros,,0,0,0,0,0,0,0,0
Cape Verde,,0,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),,0,0,0,0,0,0,0,0
Cameroon,,0,0,0,0,0,0,0,0
Ethiopia,,0,0,0,40,23,0,0,0
Burundi,,0,0,0,0,0,0,0,0
Mali,,0,0,0,0,0,0,0,0
Chad,,0,0,0,0,0,0,0,0
Benin,,0,0,0,0,0,0,0,0
Swaziland,,176,419,497,161,133,276,249,283
Equatorial Guinea,,0,0,0,0,0,0,0,0
Zimbabwe,,5892,4696,3187,2941,2824,3858,5490,6158
Malawi,,0,87,50,60,60,60,60,78
Mozambique,,0,26,13,39,680,4993,6992,10031
Niger,,190,174,201,272,271,259,263,290
Guinea-Bissau,,0,0,0,0,0,0,0,0
Tanzania,,4.4,87,34,0.2,89,87,142,127
Senegal,,0,0,0,0,0,0,0,0
Uganda,,0,0,0,0,0,0,0,0
Zambia,,416,141,164,0,0,57,194,224
Sudan and South Sudan,,0,0,0,0,0,0,0,0
Madagascar,,0,0,0,0,0,0,0,0
Mauritius,,0,0,0,0,0,0,0,0
Seychelles,,0,0,0,0,0,0,0,0
Tunisia,,0,0,0,0,0,0,0,0
Botswana,,875,1036,1086,1089,869,1621,1649,1653
Nigeria,,99,3.3,8.8,45,50,43,49,49
Morocco,,580,34,13,0,0,0,0,0
Sao Tome and Principe,,0,0,0,0,0,0,0,0
Mauritania,,0,0,0,0,0,0,0,0
Namibia,,0,0,0,0,0,0,0,0
Kazakhstan,,0,85367,96118,122278,128364,132858,131808,127271
China,,1189725,1525800,2607124,3779212,4149575,4348754,4380935,4270260
Japan,,8795,3267,0,0,0,0,0,0
Mongolia,,7889,5715,8285,27793,32625,29113,28552,33960
Pakistan,,3033,3411,5369,3804,3983,3504,3101,3659
Armenia,,0,0,0,0,0,0,0,0
Bangladesh,,0,0,196,777,735,920,931,942
Sri Lanka,,0,0,0,0,0,0,0,0
Afghanistan,,116,1.1,36,799,1631,1367,1485,1673
Bhutan,,2.2,55,94,67,114,124,86,93
Tajikistan,,0,24,109,220,260,454,569,606
India,,239035,372518,481825,627599,638588,658864,670471,735836
Turkmenistan,,0,0,0,0,0,0,0,0
Georgia,,0,7.7,5.5,116,154,280,446,330
Kyrgyzstan,,0,468,369,634,916,1283,1552,1723
Uzbekistan,,0,2833,3391,4001,4237,4247,4441,4850
Azerbaijan,,0,0,0,0,0,0,0,0
"Korea, North",,36542,24802,26522,39683,45195,45746,46297,45230
Maldives,,0,0,0,0,0,0,0,0
"Korea, South",,18978,4575,3122,2297,2297,2308,2001,1925
Nepal,,0,19,10,15,3.7,12,16,21
Antigua and Barbuda,,0,0,0,0,0,0,0,0
Barbados,,0,0,0,0,0,0,0,0
Dominica,,0,0,0,0,0,0,0,0
Grenada,,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,,0,0,0,0,0,0,0,0
Saint Lucia,,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,,0,0,0,0,0,0,0,0
Cuba,,0,0,0,0,0,0,0,0
Guatemala,,0,0,0,0,0,0,0,0
