location,2000,2005,2010,2011,2012,2013,2014
Congo (Kinshasa),0,0,0,0,0,0,0
Congo (Brazzaville),0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Libya,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0
"Gambia, The",0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0
Malawi,0.2,0.2,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0
Sudan and South Sudan,0,0,0,0,0,1,1
Madagascar,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0
China,0,22,43,50,49,55,59
Japan,0,0,0,0,0,0,1
Mongolia,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0
Afghanistan,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0
Tajikistan,0,0,1,2,3,4,6
India,2.9,3.9,4,7,6,3,11
Turkmenistan,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0
"Korea, North",0,0,0,0,0,0,0
Maldives,0,0,0,0,0,0,0
"Korea, South",0,0.2,3,7,6,7,5
Nepal,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0
Cuba,1.1,0.8,9,8,8,8,8
Guatemala,0,0,1,1,2,2,2
Dominican Republic,0,0,0,0,0,0,0
Jamaica,2.2,0,0,0,0,0,0
Costa Rica,2.1,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0
Honduras,0.001,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0
El Salvador,1.5,0,0,0,0,0,0
Trinidad and Tobago,0.6,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0
Switzerland,0.1,0,0,0,0,0,7.9
France,11,46,59,58,58,54,0
Luxembourg,0,0,0,0,0,0,0
Malta,0.04,0,0,0,0,0,0
Belarus,0,0,0,1,1,1,4.3
Germany,36,50,67,65,68,72,1.6
Italy,7.8,14,9,7,9,8,1.6
Spain,8.2,17,20,16,20,22,0
