location,Oil,NaturalGas,Coal,NuclearEnergy,Hydroelectric,Renewables,2015 Total,Oil,NaturalGas,Coal,NuclearEnergy,Hydroelectric,Renewables,2016 Total
Total Middle East,412.7990053,444.282746,10.22210362,0.802597638,5.921317809,0.523697569,874.5514784,417.8355094,461.099137,9.271667528,1.410925036,4.719066176,0.745601075,895.0819068
Algeria,19.4626,35.46,0.144,0,0.032809884,0.01742318,55.11683273,18.8925,36,0.144394521,0,0.016291804,0.050697392,55.10388565
Egypt,39.62519648,43.030539,0.4115504,0,3.163099063,0.43376929,86.66416168,40.64037306,46.1493,0.4304143,0,3.171765088,0.589220256,90.98107147
South Africa,27.86789636,4.559894577,83.35043518,2.768927909,0.178361117,1.385482192,120.1110001,26.94051432,4.630676266,85.10772971,3.600814364,0.236471551,1.754464903,122.270668
Other Africa,95.13755431,39.18804983,11.40967089,0,23.52963115,2.392750692,171.6576599,98.92161833,37.56340121,10.26648998,0,22.39945744,2.629628816,171.7805938
Total Africa,182.0932472,122.2384834,95.31565647,2.768927909,26.90390121,4.229425354,433.5496544,185.3950057,124.3433775,95.94902852,3.600814364,25.82398588,5.024011367,440.136219
Australia,47.86253743,38.59444258,44.08732068,0,3.156310811,4.775155515,138.475769,47.83332075,37.00609648,43.80658435,0,4.040118574,5.363001489,138.049118
Bangladesh,6.193904286,24.17522752,0.692857716,0,0.203228143,0.041950134,31.30716705,6.582070942,24.7681899,0.812682323,0,0.200170293,0.048488447,32.41159821
China,561.8389853,175.2833999,1913.616685,38.64551749,252.1767661,64.38547737,3005.946777,578.6563451,189.3060719,1887.55126,48.24184278,263.1058515,86.12196828,3052.983643
China Hong Kong SAR,18.26229717,2.92112309,6.698289863,0,0,0.022138978,27.90384865,18.89199897,2.998743858,6.697788287,0,0,0.02211477,28.61064529
India,195.837652,41.16517327,396.5503192,8.668036385,30.15851699,12.71411164,685.093811,212.684022,45.08429426,411.9493089,8.575272661,29.14323332,16.46614005,723.9022217
